__run_id,__done,subject,target,cache-references,cache-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,cache-misses_percent,LLC-load-misses_percent,LLC-store-misses_percent,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP,execution_time,PROCESS_CPU_USAGE,PROCESS_MEMORY,PROCESS_VIRTUAL_MEMORY,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,CPU_USAGE_10,CPU_USAGE_11,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_FREQUENCY_10,CPU_FREQUENCY_11
run_3_repetition_3,DONE,numba,fasta,142201459,26061895,13467502,2210298,19328634,191416,18.327445571426942,16.412085923581078,0.9903234755234126,0,667.8594360351562,310.24761962890625,0.00445556640625,33210380288.0,8589930496.0,1191332594.5263157,0.0,95.07776093482971,91.65151963083368,0.0,417792.0,96.88356151380037,0.9444139289855957,0.7793109119565863,0.4657261400473745,0.7627327966062646,0.5559872329862494,0.4482453430953779,0.6371863439208583,0.3427281988294501,0.3665986012157641,0.4074317278987483,0.44485595703125,2083.76,1769.68,1740.4947368421053,1738.5326315789473,1299.418947368421,1316.9642105263158,1293.0442105263157,1314.875789473684,1053.061052631579,1210.124210526316,1258.7242105263158,1262.6084210526317
run_41_repetition_10,DONE,mypyc,fannkuch_redux,70540810,575261,32520130,23960,21620134,132,0.8155009844655882,0.0736774422488471,0.000610542006816424,0,16698.802490234375,8002.885559082031,0.1314697265625,33210380288.0,8589930496.0,1129677612.6169531,0.0,2316.170734643936,94.30349025727966,4849664.0,11878400.0,99.95462643886965,0.6082131999664625,0.5548437774377079,0.5130826729891944,0.5136199543869178,0.5999859387951034,0.5641460408246024,0.5044299188837478,0.3324281042606697,0.4250965245904356,0.40379291611379897,0.4259201246093655,2099.607621187246,1778.258273567787,1755.4937354186468,1750.3464097468245,1293.233560874449,1294.7771537198653,1292.223019096172,1319.9682018491317,1047.6775252743455,1224.9975805754775,1268.354532100579,1271.4602091074053
run_28_repetition_12,DONE,codon,mandelbrot,22730830,2464821,1695898,19708,5469166,3860,10.843515173005121,1.1620981922261833,0.07057748841413847,0,451.0345458984375,198.40142822265625,0.0047607421875,33210380288.0,8589930496.0,1128950596.1656804,0.0,67.57317471504211,91.44458942300469,0.0,393216.0,96.24140580307098,0.5436666517039023,0.7563196469164459,1.2513775813156331,0.4526129813765633,0.679795297997943,0.6448801967519275,0.6447158933743923,0.24746695495921478,0.4109505067562916,0.658230607149869,0.41543852665720604,2081.7958579881656,1833.6242603550295,1802.2899408284025,1782.1005917159764,1349.5325443786983,1341.9556213017752,1364.775147928994,1358.01775147929,1071.819526627219,1254.4615384615386,1311.5887573964496,1296.1863905325445
run_6_repetition_4,DONE,numba,fannkuch_redux,46056402,9574426,6473598,1403515,2030811,109984,20.788480176979522,21.68060173028971,5.415767395390315,0,471.31195068359375,213.0390625,0.002685546875,33210380288.0,8589930496.0,1170887603.0520232,0.0,69.28385090827942,94.35033717183019,0.0,393216.0,98.57669744601829,0.6608871445490446,0.5832440732531465,0.3832890461979574,0.3837857906184445,0.4243508256928769,0.6386687390377067,0.4834748730494108,0.44492510796626866,0.2972716732176742,0.44070205781501154,0.3283384538799352,2091.843930635838,1791.921965317919,1781.8699421965318,1755.736994219653,1277.0,1293.9942196531792,1307.9537572254335,1328.887283236994,1042.329479768786,1218.21387283237,1270.0433526011561,1282.170520231214
run_20_repetition_5,DONE,cython,fannkuch_redux,51645387,389120,24837765,22056,15542560,410,0.7534458014614162,0.08880026040990403,0.0026379180778456058,0,12475.468688964844,5988.439453125,0.09515380859375,33210380288.0,8589930496.0,1126018780.4798887,0.0,1726.53209233284,94.18246414372055,0.0,4096.0,99.85601101494255,0.6163528130189063,0.5453085149303156,0.6315771085411479,0.6905139473621962,0.5522427483624485,0.4472319785407511,0.5900312666580991,0.3025756363670699,0.4102393018542318,0.38303748887432565,0.5625622663148188,2099.524516054248,1778.906340558711,1759.933580618987,1758.8423553958503,1282.481163788107,1298.0483366175959,1292.374637765156,1318.0329199026312,1043.7977280630578,1222.730497275994,1268.9630230671148,1273.6265213863453
run_25_repetition_9,DONE,pypy,k_nucleotide,4504220890,730714498,489041494,55568437,344200312,4512267,16.222883287591163,11.36272436628864,1.3109421585881653,0,657.6602172851562,288.1834716796875,0.004638671875,33210380288.0,8589930496.0,1611028884.027211,0.0,88.12805914878845,94.05582805123188,0.0,417792.0,96.9873663800644,0.7082031219183993,0.40815024554323986,0.5594126579442532,0.5304247030054902,0.43382217358299396,0.36897947499000566,0.4884022376299445,0.41855448383052335,0.2956005833586868,0.35287419103440787,0.3482145075084401,2087.501133786848,1827.2086167800453,1797.1972789115646,1817.732426303855,1343.2766439909296,1367.2902494331065,1343.015873015873,1345.62358276644,1092.546485260771,1217.3492063492063,1274.1927437641723,1286.9410430839002
run_35_repetition_13,DONE,mypyc,mandelbrot,39434159,2331484,15198108,33310,8452507,5204,5.912346197113016,0.2191720179906604,0.06156753256755658,0,6556.343017578125,3061.8713989257812,0.0518798828125,33210380288.0,8589930496.0,1130301937.472055,0.0,931.1046345233917,94.05942831998843,0.0,393216.0,99.84382773060688,0.6492171514065022,0.5382266544247637,0.5441718405674781,0.5421085462281648,0.6121011529876975,0.5443588985724379,0.4943753591933234,0.2845755555536454,0.4450878877471412,0.43610453337866584,0.5105503368498124,2099.206362854686,1786.146818572657,1762.8439380911436,1756.2876182287189,1282.7659071367154,1318.0410576096303,1298.8583404987103,1324.110060189166,1033.0700773860706,1220.8024505588994,1264.0378331900258,1288.659071367154
run_48_repetition_2,DONE,nuitka,fannkuch_redux,84195,26911,4033,2723,,,31.962705623849395,67.51797669228861,,0,12161.130554199219,5832.175598144531,0.09112548828125,33210380288.0,8589930496.0,1133001651.8145947,0.0,1684.1249313354492,0.0,2359296.0,141598720.0,99.80636104858486,0.5912131263509425,0.5571521030013284,0.4745106755100352,0.5664445214418042,0.46668511900421217,0.5683087006739037,0.6243224417175792,0.35018278795288044,0.3590871110161807,0.4363156942274782,0.4217912476586848,2098.762776325172,1783.0906821963395,1759.1193249346327,1744.817922510102,1276.3035417161873,1307.3579748038983,1295.359400998336,1325.059305918707,1037.667934395056,1210.0930591870692,1264.7989065842644,1272.9537675303065
run_34_repetition_9,DONE,codon,fannkuch_redux,2178433,18664,1045730,3859,695810,0,0.8567626362619368,0.369024509194534,,0,480.302978515625,204.1802978515625,0.00341796875,33210380288.0,8589930496.0,1122120975.2216215,0.0,73.87566423416138,94.2668384500452,4063232.0,10047488.0,98.17347579646754,0.5122837241436984,1.055348764964052,0.363252064021858,0.535192690346692,0.5290966814434206,0.4119356259300902,0.933784713777336,0.18624888553812696,0.3696765439735877,0.5295017301230818,0.3622218859356803,2092.5756756756755,1819.0027027027027,1767.2135135135136,1813.2378378378378,1290.2729729729729,1318.2405405405405,1301.3972972972972,1350.7513513513513,1081.6891891891892,1246.2486486486487,1292.4837837837838,1295.8864864864865
run_2_repetition_11,DONE,numba,binary_trees,2248956960,763700170,276714478,117014755,163130724,8351117,33.95797178795276,42.287182024498186,5.119279063580935,0,332.3271484375,141.17822265625,0.0028076171875,33210380288.0,8589930496.0,2046866932.917749,0.0,46.14725875854492,93.0614506940305,4718592.0,11878400.0,96.9078541214848,0.3699510789020753,0.3395021129480172,1.1199668395570863,0.5109968195745955,0.5492150670006162,0.48656140080778115,0.3360894861675444,0.1757434317559907,0.4481087788874969,1.0502039561798047,0.37207547539756414,2087.21645021645,1812.2424242424242,1808.4025974025974,1791.5844155844156,1321.4112554112555,1347.878787878788,1298.4025974025974,1328.3722943722944,1106.1818181818182,1220.8701298701299,1285.4112554112555,1273.2554112554112
